File  .text     Size                      Crate Name
0.1%   3.4%   6.0KiB                 embassy_rp embassy_rp::clocks::init
0.1%   2.8%   5.0KiB                        std core::num::flt2dec::strategy::dragon::format_shortest
0.1%   2.4%   4.3KiB                        std core::num::flt2dec::strategy::dragon::format_exact
0.1%   1.8%   3.2KiB                        std core::num::flt2dec::strategy::dragon::mul_pow10
0.0%   1.4%   2.4KiB                        std core::num::flt2dec::strategy::grisu::format_shortest_opt
0.0%   1.0%   1.8KiB                  cnc_brain cnc_brain::__core1_main_task::{{closure}}
0.0%   1.0%   1.7KiB                      fixed fixed::int_helper::i64::to_fixed_helper
0.0%   0.8%   1.3KiB                  cnc_brain cnc_brain::execute_motion::{{closure}}
0.0%   0.7%   1.3KiB                        std core::num::flt2dec::strategy::grisu::format_exact_opt
0.0%   0.7%   1.2KiB                embassy_usb embassy_usb::Inner<D>::handle_control_in
0.0%   0.7%   1.2KiB                  cnc_brain cnc_brain::__controller_task::{{closure}}
0.0%   0.6%   1.1KiB                        std core::str::count::do_count_chars
0.0%   0.6%   1.1KiB                embassy_usb embassy_usb::UsbDevice<D>::handle_control_out::{{closure}}
0.0%   0.6%   1.1KiB                embassy_usb embassy_usb::Inner<D>::handle_control_out
0.0%   0.6%   1.0KiB                embassy_rp? <embassy_rp::usb::Bus<T> as embassy_usb_driver::Bus>::poll::{{closure}}::{{closure}}
0.0%   0.5%     996B                embassy_usb embassy_usb::Inner<D>::handle_get_descriptor
0.0%   0.5%     960B                embassy_rp? <embassy_rp::usb::Bus<T> as embassy_usb_driver::Bus>::endpoint_set_enabled
0.0%   0.5%     952B                        std compiler_builtins::float::mul::__muldf3
0.0%   0.5%     952B                        std compiler_builtins::int::specialized_div_rem::u64_div_rem
0.0%   0.5%     952B                      fixed fixed::float_helper::f64::to_float_kind
0.0%   0.5%     936B                        std compiler_builtins::float::add::__adddf3
0.0%   0.5%     912B                 embassy_rp embassy_rp::usb::Driver<T>::alloc_endpoint
0.0%   0.5%     912B                 embassy_rp embassy_rp::usb::Driver<T>::alloc_endpoint
0.0%   0.5%     856B                  cnc_brain cnc_brain::__step_consumer_task::{{closure}}
0.0%   0.5%     824B                embassy_usb embassy_usb::Inner<D>::handle_bus_event::{{closure}}
0.0%   0.4%     740B                embassy_usb embassy_usb::UsbDevice<D>::handle_control_in::{{closure}}
0.0%   0.4%     720B      linked_list_allocator linked_list_allocator::hole::Cursor::split_current
0.0%   0.4%     712B                        std core::fmt::float::float_to_decimal_common_exact
0.0%   0.4%     708B                       libm libm::math::sqrtf::sqrtf
0.0%   0.4%     704B                embassy_usb <embassy_usb::class::cdc_acm::Control as embassy_usb::Handler>::control_out
0.0%   0.4%     688B                 embassy_rp <embassy_rp::usb::InterruptHandler<T> as embassy_rp::interrupt::typelevel::Handler<<T as embas...
0.0%   0.4%     636B                 cnc_brain? <cnc_brain::Handler as embassy_usb_logger::ReceiverHandler>::handle_data::{{closure}}
0.0%   0.4%     636B                embassy_rp? <embassy_rp::usb::Endpoint<T,embassy_rp::usb::Out> as embassy_usb_driver::EndpointOut>::read::...
0.0%   0.3%     632B                        std <core::fmt::builders::PadAdapter as core::fmt::Write>::write_str
0.0%   0.3%     620B                        std core::fmt::Formatter::pad_integral
0.0%   0.3%     608B                embassy_usb embassy_usb::descriptor_reader::foreach_endpoint
0.0%   0.3%     608B                embassy_usb embassy_usb::descriptor_reader::foreach_endpoint
0.0%   0.3%     608B                embassy_usb embassy_usb::descriptor_reader::foreach_endpoint
0.0%   0.3%     604B                        pio pio::InstructionOperands::operands
0.0%   0.3%     580B                embassy_rp? <embassy_rp::usb::Endpoint<T,embassy_rp::usb::In> as embassy_usb_driver::EndpointIn>::write::{...
0.0%   0.3%     576B                      fixed fixed::cmp_fixed::<impl core::cmp::PartialOrd<fixed::FixedU32<FracRhs>> for fixed::FixedU32<Fr...
0.0%   0.3%     572B                embassy_usb embassy_usb::descriptor::BosWriter::capability
0.0%   0.3%     568B         embassy_usb_logger embassy_usb_logger::UsbLogger<_,T>::run_logger_class::{{closure}}::{{closure}}
0.0%   0.3%     564B                embassy_usb embassy_usb::UsbDevice<D>::run_until_suspend::{{closure}}
0.0%   0.3%     556B                      fixed fixed::cmp_fixed::<impl core::cmp::PartialOrd<fixed::FixedU32<FracRhs>> for fixed::FixedU32<Fr...
0.0%   0.3%     548B                        std core::str::converts::from_utf8
0.0%   0.3%     548B                 embassy_rp embassy_rp::gpio::irq_handler::{{closure}}
0.0%   0.3%     548B                embassy_usb embassy_usb::descriptor::DescriptorWriter::write
0.0%   0.3%     532B                 embassy_rp embassy_rp::gpio::irq_handler
0.0%   0.3%     532B                embassy_rp? <embassy_rp::usb::ControlPipe<T> as embassy_usb_driver::ControlPipe>::data_in::{{closure}}
0.0%   0.3%     528B                        std compiler_builtins::float::div::__divsf3
0.0%   0.3%     528B                        std core::fmt::float::float_to_decimal_common_shortest
0.0%   0.3%     520B         embassy_usb_logger embassy_usb_logger::UsbLogger<_,T>::run_logger_class::{{closure}}::{{closure}}
0.0%   0.3%     512B                        std core::num::bignum::Big32x40::mul_pow2
0.0%   0.3%     508B                        std core::fmt::Formatter::pad
0.0%   0.3%     500B                        std compiler_builtins::float::add::__addsf3
0.0%   0.3%     496B                 embassy_rp embassy_rp::pio::StateMachine<PIO,_>::set_config
0.0%   0.3%     488B         embassy_usb_logger embassy_usb_logger::UsbLogger<_,T>::run::{{closure}}
0.0%   0.3%     488B                embassy_usb embassy_usb::builder::Builder<D>::new
0.0%   0.3%     484B                embassy_rp? <embassy_rp::usb::ControlPipe<T> as embassy_usb_driver::ControlPipe>::data_out::{{closure}}
0.0%   0.3%     468B                embassy_rp? <embassy_rp::usb::Bus<T> as embassy_usb_driver::Bus>::endpoint_set_stalled
